species,all_about_birds,article-classified,birdbase,birds_of_the_world,hand_entered,partners_in_flight,peterjohn_2006,traitdata,vgbi,vickery_1999,analysis_class,include
groove_billed_ani,Scrub,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
ground_nesters,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
gull_billed_tern,Shorelines,NA,NA,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Freshwater Marsh,NA,NA,NA,NA,other,FALSE
gyrfalcon,Tundra,NA,shrub; grasslands; plains; rocky_areas; artificial; riparian; coastal,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
hairy_woodpecker,Forests,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Generalist,NA,NA,NA,NA,other,FALSE
hammonds_flycatcher,Forests,NA,forest; woodland,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
harlequin_duck,Rivers and Streams,NA,rocky_areas; riparian; coastal,NA,NA,Wetlands:  Lakes and Rivers; Coasts:  Beach and Estuary; Coasts:  Marine Waters; Coasts:  Rocky Intertidal,NA,NA,NA,NA,other,FALSE
harriss_hawk,Scrub,NA,shrub; savannah; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
henslows_sparrow,Grasslands,NA,woodland; shrub; grasslands,NA,NA,Grasslands:  Temperate; Forests:  Temperate Eastern,NA,NA,NA,grassland obligate,obligate,TRUE
hepatic_tanager,Forests,NA,forest; woodland; shrub; savannah,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,facultative,TRUE
hermit_thrush,Open Woodlands,NA,forest; woodland; shrub; grasslands; rocky_areas; artificial,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,NA,facultative,TRUE
hermit_warbler,Forests,NA,forest; woodland,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
herring_gull,Shorelines,NA,NA,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
hoary_redpoll,Open Woodlands,NA,NA,NA,NA,Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
hooded_merganser,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Forested; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
hooded_oriole,Open Woodlands,NA,forest; woodland; desert; artificial,NA,NA,Forests:  Generalist,NA,NA,NA,NA,other,FALSE
hooded_warbler,Forests,NA,woodland; shrub; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
hooded_yellowthroat,NA,NA,shrub,NA,NA,Aridlands:  Tropical Arid Scrub,NA,NA,NA,NA,shrub,FALSE
horned_grebe,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
horned_lark,Grasslands,NA,shrub; grasslands; plains; rocky_areas; desert; artificial; coastal,NA,NA,Grasslands:  Temperate; Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,NA,NA,grassland obligate,obligate,TRUE
house_finch,Towns,NA,woodland; shrub; savannah; rocky_areas; desert; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub,NA,NA,facultative grassland,NA,facultative,TRUE
house_sparrow,Towns,NA,forest; woodland; artificial,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,other,FALSE
house_wren,Scrub,NA,NA,NA,NA,Forests:  Generalist; Open Country:  Developed/Disturbed; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
hudsonian_godwit,NA,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Coasts:  Beach and Estuary,NA,NA,NA,facultative grassland,facultative,TRUE
huttons_vireo,Forests,NA,forest; woodland,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
inca_dove,Towns,NA,woodland; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
indigo_bunting,Open Woodlands,NA,woodland; shrub; savannah; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Open Country:  Habitat Mosaic,shrubland,NA,facultative grassland,NA,facultative,TRUE
indigo_bunting_blue_grosbeak,NA,NA,NA,NA,facultative,NA,NA,NA,NA,NA,facultative,TRUE
insectivores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
isthmian_wren,NA,NA,forest; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
jabiru,NA,NA,savannah; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh,NA,NA,NA,facultative grassland,facultative,TRUE
juniper_titmouse,Open Woodlands,NA,forest; woodland; riparian,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
kentucky_warbler,Forests,NA,forest; woodland; shrub; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
killdeer,Grasslands,NA,savannah; grasslands; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Wetlands:  Generalist,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
king_rail,Marshes,NA,shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
kirtlands_warbler,Scrub,NA,forest; shrub,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
ladder_backed_woodpecker,Deserts,NA,forest; woodland; shrub; desert; riparian; coastal,NA,NA,Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,shrub,FALSE
lapland_longspur,Grasslands,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Tundra:  Arctic; Open Country:  Developed/Disturbed; Coasts:  Beach and Estuary,NA,NA,facultative grassland,grassland obligate,obligate,TRUE
lark_bunting,Grasslands,NA,shrub; grasslands; artificial,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan; Aridlands:  Desert Scrub,NA,NA,NA,grassland obligate,obligate,TRUE
lark_sparrow,Grasslands,NA,forest; woodland; shrub; savannah; grasslands; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
laughing_gull,Shorelines,NA,coastal,NA,NA,Coasts:  Beach and Estuary; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
lawrences_goldfinch,Open Woodlands,NA,woodland; shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Aridlands:  Chaparral; Aridlands:  Desert Riparian; Aridlands:  Desert Scrub,NA,NA,NA,NA,shrub,FALSE
lazuli_bunting,Open Woodlands,NA,forest; woodland; shrub,NA,NA,Forests:  Temperate Western; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
le_contes_sparrow,NA,NA,shrub; grasslands; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Grasslands:  Temperate,NA,NA,NA,grassland obligate,obligate,TRUE
least_bittern,Marshes,NA,coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh,NA,NA,NA,NA,other,FALSE
least_flycatcher,Forests,NA,forest; woodland; shrub,NA,NA,Forests:  Temperate Eastern; Forests:  Temperate Western; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
least_grebe,Lakes and Ponds,NA,coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
least_sandpiper,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Beach and Estuary; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
least_tern,Shorelines,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
lecontes_sparrow,Grasslands,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,FALSE
lecontes_thrasher,Scrub,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
lesser_elaenia,NA,NA,forest; woodland; shrub; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
lesser_goldfinch,Open Woodlands,NA,forest; woodland; artificial,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
lesser_nighthawk,Deserts,NA,shrub; savannah; plains; desert; artificial; coastal,NA,NA,Aridlands Aerial:  Desert Scrub; Open Country Aerial:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
lesser_prairie_chicken,Grasslands,NA,shrub; grasslands; artificial,NA,NA,Grasslands:  Temperate,NA,NA,NA,grassland obligate,obligate,TRUE
lesser_scaup,Lakes and Ponds,NA,artificial; riparian; coastal; wetlands_lakes_marsh; pelagic,NA,NA,Wetlands:  Lakes and Rivers; Wetlands:  Freshwater Marsh; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
lesser_yellow_headed_vulture,NA,NA,shrub; savannah; grasslands; coastal; wetlands_lakes_marsh,NA,NA,Grasslands:  Tropical; Wetlands:  Freshwater Marsh,NA,NA,NA,facultative grassland,facultative,TRUE
lesser_yellowlegs,Marshes,NA,shrub; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
lewiss_woodpecker,Open Woodlands,NA,forest; woodland; artificial; riparian,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
limpkin,Marshes,NA,forest; shrub; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Lakes and Rivers; Wetlands:  Freshwater Marsh,NA,NA,NA,NA,other,FALSE
lincolns_sparrow,Scrub,NA,woodland; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Forests:  Temperate Western; Forests:  Generalist,NA,NA,NA,NA,facultative,TRUE
little_blue_heron,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative,TRUE
loggerhead_shrike,Open Woodlands,NA,woodland; shrub; savannah; grasslands; artificial,NA,NA,Grasslands:  Temperate; Aridlands:  Desert Scrub,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
long_billed_curlew,Grasslands,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Coasts:  Beach and Estuary; Wetlands:  Lakes and Rivers,NA,NA,NA,grassland obligate,obligate,TRUE
long_billed_dowitcher,NA,NA,grasslands; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
long_billed_thrasher,Scrub,NA,woodland; shrub; riparian,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
long_eared_owl,Forests,NA,forest; woodland; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Generalist,NA,NA,NA,grassland obligate,obligate,TRUE
long_tailed_duck,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh; pelagic,NA,NA,Wetlands:  Tundra; Coasts:  Marine Waters; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
long_tailed_jaeger,Tundra,NA,grasslands; pelagic,NA,NA,Tundra:  Arctic; Tundra:  Alpine; Oceans:  Pelagic,NA,NA,NA,grassland obligate,obligate,TRUE
louisiana_waterthrush,Rivers and Streams,NA,forest; woodland; shrub; riparian; wetlands_lakes_marsh,NA,NA,Wetlands:  Lakes and Rivers; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen,NA,NA,NA,NA,other,FALSE
lucifer_hummingbird,NA,NA,forest; shrub,NA,NA,Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,shrub,FALSE
lucys_warbler,Scrub,NA,woodland; shrub; desert,NA,NA,Aridlands:  Desert Riparian; Aridlands:  Desert Scrub; Forests:  Tropical Dry,NA,NA,NA,NA,shrub,FALSE
macgillivrays_warbler,Open Woodlands,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,FALSE
magnificent_frigatebird,Oceans,NA,woodland; shrub; coastal; pelagic,NA,NA,Coasts:  Mangroves; Coasts:  Marine Waters; Oceans:  Pelagic,NA,NA,NA,NA,other,FALSE
magnolia_warbler,Forests,NA,forest; woodland; shrub; artificial,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
mallard,NA,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,facultative grassland,facultative,TRUE
mangrove_cuckoo,Forests,NA,woodland; shrub; coastal,NA,NA,Coasts:  Mangroves; Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
marbled_godwit,Grasslands,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Tundra; Coasts:  Beach and Estuary,NA,NA,NA,grassland obligate,obligate,TRUE
marbled_murrelet,Oceans,NA,forest; grasslands; coastal; pelagic,NA,NA,Forests:  Temperate Western; Coasts:  Marine Waters,NA,NA,NA,NA,facultative,TRUE
marsh_wren,Marshes,NA,wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Wetlands:  Generalist; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
mccowns_longspur,Grasslands,NA,NA,NA,NA,NA,NA,NA,NA,grassland obligate,obligate,TRUE
mckays_bunting,NA,NA,NA,NA,NA,NA,NA,NA,NA,grassland obligate,obligate,TRUE
meadow_pipit,NA,NA,forest; shrub; grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,NA,NA,grassland; mountain_meadow,NA,NA,facultative,TRUE
meadowlark_spp,NA,NA,NA,NA,obligate,NA,NA,NA,NA,NA,obligate,TRUE
melodious_blackbird,NA,NA,forest; artificial,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
merlin,Forests,NA,woodland; shrub; plains; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
mew_gull,Shorelines,NA,NA,NA,NA,NA,NA,NA,NA,NA,other,FALSE
mexican_jay,Open Woodlands,NA,forest,NA,NA,Forests:  Mesoamerican Pine-Oak; Forests:  Mesoamerican Highland,NA,NA,NA,NA,other,FALSE
mississippi_kite,Open Woodlands,NA,woodland; savannah; grasslands; artificial,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry; Open Country:  Developed/Disturbed,NA,NA,NA,NA,facultative,TRUE
monk_parakeet,Forests,NA,woodland; artificial; riparian,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,other,FALSE
montezuma_quail,Open Woodlands,NA,forest; woodland; grasslands,NA,NA,Forests:  Mesoamerican Pine-Oak; Grasslands:  Tropical,NA,NA,NA,grassland obligate,obligate,TRUE
morelets_seedeater,NA,NA,NA,NA,NA,Open Country:  Developed/Disturbed,NA,NA,NA,NA,other,FALSE
mottled_duck,Marshes,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Coasts:  Saltmarsh,NA,NA,NA,NA,other,FALSE
mountain_bluebird,Open Woodlands,NA,woodland; grasslands,NA,NA,Open Country:  Habitat Mosaic; Tundra:  Alpine; Forests:  Temperate Western; Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,facultative,TRUE
mountain_chickadee,Forests,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
mountain_plover,Grasslands,NA,grasslands,NA,NA,Grasslands:  Temperate; Grasslands:  Chihuahuan,NA,NA,NA,grassland obligate,obligate,TRUE
mountain_quail,Forests,NA,forest; shrub; artificial,NA,NA,Forests:  Temperate Western; Aridlands:  Chaparral,NA,NA,NA,NA,other,FALSE
mourning_dove,Open Woodlands,NA,woodland; savannah; plains; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,facultative grassland,facultative grassland,facultative,TRUE
mourning_warbler,Forests,NA,forest; woodland; shrub,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
mouse_colored_tyrannulet,NA,NA,woodland; shrub; artificial; riparian; coastal,NA,NA,Aridlands:  Tropical Arid Scrub,NA,NA,NA,NA,shrub,FALSE
mute_swan,Lakes and Ponds,NA,artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
nashville_warbler,Forests,NA,woodland; shrub,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Tropical Generalist,shrubland,NA,NA,NA,other,FALSE
nelsons_sparrow,Marshes,NA,grasslands; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Coasts:  Saltmarsh,NA,NA,NA,NA,facultative,TRUE
neotropic_cormorant,Lakes and Ponds,NA,NA,NA,NA,Wetlands:  Generalist; Coasts:  Beach and Estuary,NA,NA,NA,NA,other,FALSE
non_grassland_species,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
non_insectivores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
northern_beardless_tyrannulet,Rivers and Streams,NA,forest; shrub; savannah; riparian,NA,NA,Forests:  Tropical Dry; Aridlands:  Desert Riparian; Aridlands:  Desert Scrub,NA,NA,NA,NA,facultative,TRUE
northern_bobwhite,Grasslands,NA,woodland; shrub; artificial,NA,NA,Open Country:  Habitat Mosaic; Forests:  Tropical Dry,shrubland,NA,facultative grassland,facultative grassland,facultative,TRUE
northern_cardinal,Open Woodlands,NA,forest; shrub,NA,NA,Open Country:  Habitat Mosaic; Aridlands:  Desert Scrub,shrubland,NA,facultative grassland,NA,facultative,TRUE
northern_flicker,Open Woodlands,NA,NA,NA,NA,Forests:  Generalist; Forests:  Temperate Generalist,NA,NA,facultative grassland,NA,facultative,TRUE
northern_gannet,Oceans,NA,rocky_areas; coastal; pelagic,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Oceans:  Pelagic,NA,NA,NA,NA,other,FALSE
northern_goshawk,Forests,NA,NA,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
northern_harrier,Grasslands,NA,shrub; grasslands; desert; artificial; wetlands_lakes_marsh,NA,NA,Grasslands:  Temperate; Wetlands:  Freshwater Marsh; Open Country:  Habitat Mosaic; Coasts:  Saltmarsh,NA,NA,NA,grassland obligate,obligate,TRUE
northern_hawk_owl,Forests,NA,woodland; grasslands; artificial,NA,NA,Forests:  Boreal,NA,NA,NA,NA,facultative,TRUE
northern_lapwing,NA,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,NA,NA,grassland,NA,NA,obligate,TRUE
northern_mockingbird,Towns,NA,forest; shrub; artificial; coastal,NA,NA,Open Country:  Habitat Mosaic,shrubland,NA,facultative grassland,NA,facultative,TRUE
northern_parula,Forests,NA,forest,NA,NA,Forests:  Temperate Eastern; Forests:  Boreal; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
northern_pintail,Marshes,NA,grasslands; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Tundra; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
northern_pygmy_owl,Forests,NA,forest; shrub,NA,NA,Forests:  Temperate Western; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
northern_rough_winged_swallow,Rivers and Streams,NA,shrub; artificial; wetlands_lakes_marsh,NA,NA,Open Country Aerial:  Habitat Mosaic; Wetlands Aerial:  Lakes and Rivers,NA,NA,NA,NA,facultative,TRUE
northern_saw_whet_owl,Forests,NA,forest; woodland; shrub; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Temperate Generalist,NA,NA,NA,NA,other,FALSE
northern_shoveler,Marshes,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Seasonally Wet Grasslands; Wetlands:  Freshwater Marsh; Wetlands:  Generalist,NA,NA,NA,facultative grassland,facultative,TRUE
northern_shrike,Open Woodlands,NA,NA,NA,NA,Forests:  Boreal; Tundra:  Arctic; Open Country:  Habitat Mosaic,NA,NA,NA,facultative grassland,facultative,TRUE
northern_waterthrush,Forests,NA,forest; woodland; shrub; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Forests:  Temperate Eastern; Coasts:  Mangroves; Wetlands:  Forested,NA,NA,NA,NA,other,FALSE
northern_wheatear,Tundra,NA,shrub; savannah; grasslands; plains; rocky_areas; artificial; riparian,NA,NA,Tundra:  Arctic; Tundra:  Alpine; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
nuttalls_woodpecker,Open Woodlands,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
oak_titmouse,Open Woodlands,NA,forest; woodland; riparian,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
oaxaca_sparrow,NA,NA,shrub,NA,NA,Forests:  Tropical Dry,NA,NA,NA,facultative grassland,facultative,TRUE
obligate_grassland_species,NA,obligate,NA,NA,NA,NA,NA,NA,NA,NA,obligate,TRUE
ocellated_quail,NA,NA,woodland,NA,NA,Forests:  Mesoamerican Pine-Oak,NA,NA,NA,grassland obligate,obligate,TRUE
ocellated_thrasher,NA,NA,forest; shrub,NA,NA,Aridlands:  Desert Scrub; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,shrub,FALSE
olive_sided_flycatcher,Open Woodlands,NA,forest; shrub,NA,NA,Forests:  Boreal; Forests:  Temperate Western; Forests:  Tropical Montane Evergreen; Forests:  Tropical Lowland Evergreen,NA,NA,NA,NA,other,FALSE
olive_sparrow,Scrub,NA,forest; woodland; shrub,NA,NA,Forests:  Tropical Dry,NA,NA,NA,NA,other,FALSE
olive_warbler,Forests,NA,forest,NA,NA,Forests:  Mesoamerican Highland; Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
omnivores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
orange_crowned_warbler,Forests,NA,woodland; shrub,NA,NA,Forests:  Temperate Western; Forests:  Boreal; Forests:  Generalist,NA,NA,NA,NA,other,FALSE
orchard_oriole,Open Woodlands,NA,forest; woodland; shrub; savannah; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Generalist,NA,NA,facultative grassland,NA,facultative,TRUE
ortolan_bunting,NA,NA,NA,NA,NA,NA,NA,woodland; shrub,NA,NA,shrub,FALSE
osprey,Oceans,NA,artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Lakes and Rivers; Coasts:  Saltmarsh; Wetlands:  Generalist,NA,NA,NA,NA,other,FALSE
ovenbird,Forests,NA,forest; shrub,NA,NA,Forests:  Temperate Eastern; Forests:  Boreal; Forests:  Tropical Generalist; Coasts:  Mangroves,NA,NA,NA,NA,other,FALSE
pacific_golden_plover,Grasslands,NA,grasslands; rocky_areas; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Beach and Estuary,NA,NA,NA,grassland obligate,obligate,TRUE
pacific_loon,Lakes and Ponds,NA,coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
pacific_wren,Forests,NA,forest; woodland; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Temperate Western,NA,NA,NA,NA,other,FALSE
painted_bunting,Scrub,NA,shrub; grasslands; riparian,NA,NA,Forests:  Temperate Eastern; Forests:  Tropical Dry; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
painted_redstart,Forests,NA,NA,NA,NA,Forests:  Mesoamerican Pine-Oak,NA,NA,NA,NA,other,FALSE
pale_breasted_spinetail,NA,NA,woodland; shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
palm_tanager,NA,NA,forest; woodland; shrub; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
palm_warbler,Open Woodlands,NA,shrub; grasslands; artificial; wetlands_lakes_marsh,NA,NA,Wetlands:  Boreal; Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
parasitic_jaeger,Tundra,NA,NA,NA,NA,Wetlands:  Tundra; Tundra:  Arctic; Oceans:  Pelagic; Coasts:  Marine Waters,NA,NA,NA,grassland obligate,obligate,TRUE
passerines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shrub,FALSE
pearl_kite,NA,NA,woodland; shrub; artificial; riparian,NA,NA,Open Country:  Habitat Mosaic,NA,NA,NA,NA,facultative,TRUE
pectoral_sandpiper,NA,NA,grasslands; artificial; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Tundra; Grasslands:  Pampas and Campos; Wetlands:  Seasonally Wet Grasslands,NA,NA,NA,facultative grassland,facultative,TRUE
pelagic_cormorant,Shorelines,NA,rocky_areas; coastal; pelagic,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters; Coasts:  Rocky Intertidal,NA,NA,NA,NA,other,FALSE
peregrine_falcon,Shorelines,NA,grasslands; plains; rocky_areas; desert; artificial; riparian; coastal; wetlands_lakes_marsh,NA,NA,Open Country:  Habitat Mosaic; Open Country:  Developed/Disturbed,NA,NA,NA,facultative grassland,facultative,TRUE
phainopepla,Scrub,NA,shrub; desert; riparian,NA,NA,Aridlands:  Desert Scrub; Aridlands:  Desert Riparian,NA,NA,NA,NA,shrub,FALSE
philadelphia_vireo,Forests,NA,forest; woodland; shrub; artificial; riparian; wetlands_lakes_marsh,NA,NA,Forests:  Boreal; Forests:  Tropical Generalist,NA,NA,NA,NA,other,FALSE
pied_billed_grebe,Lakes and Ponds,NA,riparian; coastal; wetlands_lakes_marsh,NA,NA,Wetlands:  Freshwater Marsh; Wetlands:  Lakes and Rivers,NA,NA,NA,NA,other,FALSE
pigeon_guillemot,Oceans,NA,rocky_areas; coastal; pelagic,NA,NA,Coasts:  Cliffs and Islands; Coasts:  Marine Waters,NA,NA,NA,NA,other,FALSE
