effect_id,key,source_sheet,source_row,extraction_type,design,response_class,response_var,survival_scale,link,baseline_survival,beta_is_derived,treatment,control,species,sign,treatment_control_flag,response_flag,response_dir,notes,bmp,paper,region,species_group,analysis_class,species_include,xbar_e,xbar_c,n_e,n_c,sd_e,sd_c,se_e,se_c,lcl_e,lcl_c,ucl_e,ucl_c,df_e,df_c
md_0709,86IBQ28G,mean_diff,776,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned native hayfield,Unburned hayfield,red_winged_blackbird,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.19,0.05,5,5,0.23,0.07,,,,,,,,
md_0710,86IBQ28G,mean_diff,777,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned native hayfield,Unburned hayfield,henslows_sparrow,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.02,0.11,5,5,0.04,0.15,,,,,,,,
md_0711,86IBQ28G,mean_diff,778,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned native hayfield,Unburned hayfield,mourning_dove,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.03,0,5,5,0.04,0,,,,,,,,
md_0712,86IBQ28G,mean_diff,779,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned native hayfield,Unburned hayfield,northern_bobwhite,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0,0.08,5,5,0,0.1,,,,,,,,
md_0713,86IBQ28G,mean_diff,780,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned native hayfield,Unburned hayfield,upland_sandpiper,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.02,0.08,5,5,0.04,0.16,,,,,,,,
md_0714,86IBQ28G,mean_diff,781,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned native hayfield,Unburned hayfield,lark_sparrow,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0,0,5,5,0,0,,,,,,,,
md_0715,86IBQ28G,mean_diff,782,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,dickcissel,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,1,0.74,6,6,0.75,0.53,,,,,,,,
md_0716,86IBQ28G,mean_diff,783,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,grasshopper_sparrow,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.63,0.86,6,6,0.37,0.73,,,,,,,,
md_0717,86IBQ28G,mean_diff,784,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,eastern_meadowlark,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.25,0.44,6,6,0.08,0.34,,,,,,,,
md_0718,86IBQ28G,mean_diff,785,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,brown_headed_cowbird,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.21,0.15,6,6,0.2,0.14,,,,,,,,
md_0719,86IBQ28G,mean_diff,786,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,red_winged_blackbird,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.04,0.01,6,6,0.1,0.03,,,,,,,,
md_0720,86IBQ28G,mean_diff,787,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,henslows_sparrow,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.01,0.09,6,6,0.03,0.23,,,,,,,,
md_0721,86IBQ28G,mean_diff,788,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,common_nighthawk,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.01,0.03,6,6,0.03,0.06,,,,,,,,
md_0722,86IBQ28G,mean_diff,789,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,mourning_dove,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0,0.01,6,6,0,0.03,,,,,,,,
md_0723,86IBQ28G,mean_diff,790,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,upland_sandpiper,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.01,0.07,6,6,0.03,0.09,,,,,,,,
md_0724,86IBQ28G,mean_diff,791,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,dickcissel,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,1.57,1.16,6,6,0.86,0.33,,,,,,,,
md_0725,86IBQ28G,mean_diff,792,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,grasshopper_sparrow,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.84,1.11,6,6,0.73,0.63,,,,,,,,
md_0726,86IBQ28G,mean_diff,793,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,eastern_meadowlark,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.51,0.46,6,6,0.2,0.23,,,,,,,,
md_0727,86IBQ28G,mean_diff,794,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,brown_headed_cowbird,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.29,0.15,6,6,0.36,0.26,,,,,,,,
md_0728,86IBQ28G,mean_diff,795,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,red_winged_blackbird,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.12,0.01,6,6,0.19,0.03,,,,,,,,
md_0729,86IBQ28G,mean_diff,796,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,henslows_sparrow,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0,0.29,6,6,0,0.56,,,,,,,,
md_0730,86IBQ28G,mean_diff,797,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,mourning_dove,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0,0,6,6,0,0,,,,,,,,
md_0731,86IBQ28G,mean_diff,798,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,northern_bobwhite,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0,0.03,6,6,0,0.04,,,,,,,,
md_0732,86IBQ28G,mean_diff,799,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,upland_sandpiper,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.04,0,6,6,0.04,0,,,,,,,,
md_0733,86IBQ28G,mean_diff,800,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Unburned season-long grazed pasture,lark_sparrow,1,apples,0,,,prescribed_fire,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.01,0,6,6,0.03,0,,,,,,,,
md_0734,86IBQ28G,mean_diff,801,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),dickcissel,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,1,1.07,6,6,0.75,0.69,,,,,,,,
md_0735,86IBQ28G,mean_diff,802,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),grasshopper_sparrow,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.63,0.88,6,6,0.37,0.33,,,,,,,,
md_0736,86IBQ28G,mean_diff,803,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),eastern_meadowlark,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.25,0.3,6,6,0.08,0.19,,,,,,,,
md_0737,86IBQ28G,mean_diff,804,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),brown_headed_cowbird,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.21,0.2,6,6,0.2,0.33,,,,,,,,
md_0738,86IBQ28G,mean_diff,805,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),red_winged_blackbird,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.04,0.03,6,6,0.1,0.04,,,,,,,,
md_0739,86IBQ28G,mean_diff,806,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),henslows_sparrow,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.01,0,6,6,0.03,0,,,,,,,,
md_0740,86IBQ28G,mean_diff,807,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),common_nighthawk,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.01,0.07,6,6,0.03,0.09,,,,,,,,
md_0741,86IBQ28G,mean_diff,808,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),mourning_dove,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0,0.01,6,6,0,0.03,,,,,,,,
md_0742,86IBQ28G,mean_diff,809,mean_difference,categorical,abundance,density (birds/ha) - 2004,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),upland_sandpiper,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.01,0.01,6,6,0.03,0.04,,,,,,,,
md_0743,86IBQ28G,mean_diff,810,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),dickcissel,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,1.57,1.28,6,6,0.86,0.94,,,,,,,,
md_0744,86IBQ28G,mean_diff,811,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),grasshopper_sparrow,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.84,1.36,6,6,0.73,0.55,,,,,,,,
md_0745,86IBQ28G,mean_diff,812,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),eastern_meadowlark,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.51,0.83,6,6,0.2,0.44,,,,,,,,
md_0746,86IBQ28G,mean_diff,813,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),brown_headed_cowbird,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.29,0.07,6,6,0.36,0.06,,,,,,,,
md_0747,86IBQ28G,mean_diff,814,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),red_winged_blackbird,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.12,0.01,6,6,0.19,0.03,,,,,,,,
md_0748,86IBQ28G,mean_diff,815,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),henslows_sparrow,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0,0.01,6,6,0,0.03,,,,,,,,
md_0749,86IBQ28G,mean_diff,816,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),mourning_dove,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0,0,6,6,0,0,,,,,,,,
md_0750,86IBQ28G,mean_diff,817,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),northern_bobwhite,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0,0.05,6,6,0,0.1,,,,,,,,
md_0751,86IBQ28G,mean_diff,818,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),upland_sandpiper,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,obligate,TRUE,0.04,0.02,6,6,0.04,0.04,,,,,,,,
md_0752,86IBQ28G,mean_diff,819,mean_difference,categorical,abundance,density (birds/ha) - 2005,,,,,Burned season-long grazed pasture,Burned intensive-early season grazed pasture (1.25 cattle/ha),lark_sparrow,-1,apples,0,,,reduce_grazing_intensity,Rahmig et al. 2009,great_plains,species,facultative,TRUE,0.01,0,6,6,0.03,0,,,,,,,,
md_0753,A9QQKZTZ,mean_diff,820,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,lark_sparrow,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.83,0.16,3,3,,,0.6,0.16,,,,,,
md_0754,A9QQKZTZ,mean_diff,821,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,western_meadowlark,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,obligate,TRUE,0.66,0.16,3,3,,,0.16,0.16,,,,,,
md_0755,A9QQKZTZ,mean_diff,822,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,northern_flicker,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,forest,FALSE,0.16,0.16,3,3,,,0.16,0.16,,,,,,
md_0756,A9QQKZTZ,mean_diff,823,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,mourning_dove,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,2.67,7.5,3,3,,,0.6,1.04,,,,,,
md_0757,A9QQKZTZ,mean_diff,824,mean_difference,categorical,abundance,abundance - 2007,,,,,Treated,Untreated,mourning_dove,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,3.5,5.5,3,3,,,1.04,0.58,,,,,,
md_0758,A9QQKZTZ,mean_diff,825,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,western_kingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,2.16,1.5,3,3,,,0.6,0.29,,,,,,
md_0759,A9QQKZTZ,mean_diff,826,mean_difference,categorical,abundance,abundance - 2007,,,,,Treated,Untreated,western_kingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,3.16,1.16,3,3,,,2.18,0.33,,,,,,
md_0760,A9QQKZTZ,mean_diff,827,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,western_kingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,1,1,3,3,,,0.29,0.5,,,,,,
md_0761,A9QQKZTZ,mean_diff,828,mean_difference,categorical,abundance,abundance - 2007,,,,,Treated,Untreated,western_kingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.83,0.33,3,3,,,0.83,0.16,,,,,,
md_0762,A9QQKZTZ,mean_diff,829,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,orchard_oriole,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,1,2.33,3,3,,,0.76,1.16,,,,,,
md_0763,A9QQKZTZ,mean_diff,830,mean_difference,categorical,abundance,abundance - 2007,,,,,Treated,Untreated,orchard_oriole,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,1,1.33,3,3,,,1,0.33,,,,,,
md_0764,A9QQKZTZ,mean_diff,831,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,northern_mockingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.83,2.83,3,3,,,0.16,1.01,,,,,,
md_0765,A9QQKZTZ,mean_diff,832,mean_difference,categorical,abundance,abundance - 2007,,,,,Treated,Untreated,northern_mockingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.33,2.16,3,3,,,0.33,0.93,,,,,,
md_0766,A9QQKZTZ,mean_diff,833,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,brown_thrasher,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,shrub,FALSE,0.33,0.67,3,3,,,0.33,0.44,,,,,,
md_0767,A9QQKZTZ,mean_diff,834,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,yellow_warbler,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.33,1.16,3,3,,,0.16,1.16,,,,,,
md_0768,A9QQKZTZ,mean_diff,835,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,red_winged_blackbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,1.67,0.5,3,3,,,0.73,0.5,,,,,,
md_0769,A9QQKZTZ,mean_diff,836,mean_difference,categorical,abundance,abundance - 2007,,,,,Treated,Untreated,red_winged_blackbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,1.33,0.5,3,3,,,0.73,0.5,,,,,,
md_0770,A9QQKZTZ,mean_diff,837,mean_difference,categorical,abundance,abundance - 2006,,,,,Treated,Untreated,brown_headed_cowbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,1,1,3,3,,,0.76,0,,,,,,
md_0771,A9QQKZTZ,mean_diff,838,mean_difference,categorical,abundance,abundance - 2007,,,,,Treated,Untreated,brown_headed_cowbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.33,1.67,3,3,,,0.33,0.44,,,,,,
md_0772,A9QQKZTZ,mean_diff,839,mean_difference,categorical,abundance,abundance - 2008,,,,,Treated,Untreated,lark_sparrow,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.16,0.16,3,3,,,0.16,0.16,,,,,,
md_0773,A9QQKZTZ,mean_diff,840,mean_difference,categorical,abundance,abundance - 2009,,,,,Treated,Untreated,lark_sparrow,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.5,1.83,3,3,,,0.29,1.16,,,,,,
md_0774,A9QQKZTZ,mean_diff,841,mean_difference,categorical,abundance,abundance - 2008,,,,,Treated,Untreated,northern_flicker,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,forest,FALSE,0.16,0.5,3,3,,,0.16,0.5,,,,,,
md_0775,A9QQKZTZ,mean_diff,842,mean_difference,categorical,abundance,abundance - 2008,,,,,Treated,Untreated,mourning_dove,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,3.83,6.66,3,3,,,1.36,0.16,,,,,,
md_0776,A9QQKZTZ,mean_diff,843,mean_difference,categorical,abundance,abundance - 2009,,,,,Treated,Untreated,mourning_dove,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,4,7.33,3,3,,,0.28,1.36,,,,,,
md_0777,A9QQKZTZ,mean_diff,844,mean_difference,categorical,abundance,abundance - 2008,,,,,Treated,Untreated,western_kingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,2.66,3.33,3,3,,,1.69,0.6,,,,,,
md_0778,A9QQKZTZ,mean_diff,845,mean_difference,categorical,abundance,abundance - 2009,,,,,Treated,Untreated,western_kingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,2,2.83,3,3,,,1.5,1.36,,,,,,
md_0779,A9QQKZTZ,mean_diff,846,mean_difference,categorical,abundance,abundance - 2009,,,,,Treated,Untreated,eastern_kingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.66,0.67,3,3,,,0.66,0.44,,,,,,
md_0780,A9QQKZTZ,mean_diff,847,mean_difference,categorical,abundance,abundance - 2008,,,,,Treated,Untreated,orchard_oriole,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.83,1.67,3,3,,,0.44,0.72,,,,,,
md_0781,A9QQKZTZ,mean_diff,848,mean_difference,categorical,abundance,abundance - 2009,,,,,Treated,Untreated,orchard_oriole,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.5,1,3,3,,,0.5,0.76,,,,,,
md_0782,A9QQKZTZ,mean_diff,849,mean_difference,categorical,abundance,abundance - 2008,,,,,Treated,Untreated,northern_mockingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,1.66,2.83,3,3,,,0.44,0.6,,,,,,
md_0783,A9QQKZTZ,mean_diff,850,mean_difference,categorical,abundance,abundance - 2009,,,,,Treated,Untreated,northern_mockingbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,2,6,3,3,,,0.29,0.87,,,,,,
md_0784,A9QQKZTZ,mean_diff,851,mean_difference,categorical,abundance,abundance - 2008,,,,,Treated,Untreated,blue_grosbeak,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.5,0.5,3,3,,,0.29,0.5,,,,,,
md_0785,A9QQKZTZ,mean_diff,852,mean_difference,categorical,abundance,abundance - 2009,,,,,Treated,Untreated,red_winged_blackbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.16,0.16,3,3,,,0.16,0.16,,,,,,
md_0786,A9QQKZTZ,mean_diff,853,mean_difference,categorical,abundance,abundance - 2009,,,,,Treated,Untreated,brown_headed_cowbird,1,apples,0,,,remove_non_native_shrubs,Raynor et al. 2017,great_plains,species,facultative,TRUE,0.83,0.66,3,3,,,0.6,0.16,,,,,,
md_0787,U2MLB3CF,mean_diff,854,mean_difference,categorical,species_richness,species_richness,,,,,Native stands,R. pseudacacia stands,all_species,1,apples,0,,,remove_non_native_shrubs,Reif et al. 2016,europe,aggregate,,TRUE,11.1,11.8,20,19,,,3.1,2.7,,,,,,
md_0788,U2MLB3CF,mean_diff,855,mean_difference,categorical,species_richness,species_richness,,,,,Native stands,R. pseudacacia stands,specialists,1,apples,0,,,remove_non_native_shrubs,Reif et al. 2016,europe,guild,other,TRUE,6.25,4.53,20,19,,,0.507,0.442,,,,,,
md_0789,U2MLB3CF,mean_diff,856,mean_difference,categorical,species_richness,species_richness,,,,,Native stands,R. pseudacacia stands,generalists,1,apples,0,,,remove_non_native_shrubs,Reif et al. 2016,europe,guild,other,TRUE,4.8,7.263,20,19,,,0.329,0.396,,,,,,
md_0790,LIZQ6R64,mean_diff,857,mean_difference,categorical,species_richness,species_richness - 1996,,,,,Rotational grazing,Continuous grazing,all_species,1,apples,0,,,rotational_grazing,Renfrew and Ribic 2001,other,aggregate,,TRUE,4.3,5.5,4,4,,,0.5,2.13,,,,,,
md_0791,LIZQ6R64,mean_diff,858,mean_difference,categorical,species_richness,species_richness - 1997,,,,,Rotational grazing,Continuous grazing,all_species,1,apples,0,,,rotational_grazing,Renfrew and Ribic 2001,other,aggregate,,TRUE,3,5.3,4,4,,,0.9,1.3,,,,,,
md_0792,LIZQ6R64,mean_diff,859,mean_difference,categorical,species_richness,species_richness - 1998,,,,,Rotational grazing,Continuous grazing,all_species,1,apples,0,,,rotational_grazing,Renfrew and Ribic 2001,other,aggregate,,TRUE,1.8,3.5,4,4,,,0.8,1.2,,,,,,
md_0793,LIZQ6R64,mean_diff,860,mean_difference,categorical,abundance,density - 1996,,,,,Rotational grazing,Continuous grazing,all_species,1,apples,0,,,rotational_grazing,Renfrew and Ribic 2001,other,aggregate,,TRUE,1.89,2.35,4,4,,,0.57,0.83,,,,,,
md_0794,LIZQ6R64,mean_diff,861,mean_difference,categorical,abundance,density - 1997,,,,,Rotational grazing,Continuous grazing,all_species,1,apples,0,,,rotational_grazing,Renfrew and Ribic 2001,other,aggregate,,TRUE,2.78,3.31,4,4,,,0.88,1.18,,,,,,
md_0795,LIZQ6R64,mean_diff,862,mean_difference,categorical,abundance,density - 1998,,,,,Rotational grazing,Continuous grazing,all_species,1,apples,0,,,rotational_grazing,Renfrew and Ribic 2001,other,aggregate,,TRUE,1.73,1.72,4,4,,,1.03,0.56,,,,,,
md_0796,GP94VHUQ,mean_diff,863,mean_difference,categorical,abundance,log abundance of males,,,,,Near forest edges with adjacent herbaceous buffers,Near forest edges without adjacent herbaceous buffers,american_goldfinch,1,apples,1,,Need to consider whether this represents edge and shrub; Questionable sample size,edge_and_shrub_habitat,Riffell et al. 2015,southeast_us,species,facultative,TRUE,0.92,0.21,51,51,0.56,0.8,,,-0.26,-1.44,2,1.69,,
md_0797,GP94VHUQ,mean_diff,864,mean_difference,categorical,abundance,log abundance of males,,,,,Near forest edges with adjacent herbaceous buffers,Near forest edges without adjacent herbaceous buffers,blue_grosbeak,1,apples,1,,Questionable sample size,edge_and_shrub_habitat,Riffell et al. 2015,southeast_us,species,facultative,TRUE,1.1,1.03,51,51,0.41,0.41,,,0.32,0.26,1.96,1.91,,
