key,paper,bmp,response_class,predictor_var,response_var,species,error_class,beta,n,sd,se,lcl,ucl,notes,analysis_class,species_include,survival_scale
MRPSC6G6,Young et al. 2019,prescribed_fire,survival,third year post-burn,Juvenile survival,henslows_sparrow,standard_error,2.65,46,NA,0.85,NA,NA,NA,obligate,TRUE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (National Bison Range),clay_colored_sparrow,confidence_intervals,0.28,70,NA,NA,-0.73,1.23,Patty counts as a measurement of bison grazing intensity,facultative,TRUE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (National Bison Range),grasshopper_sparrow,confidence_intervals,1.77,70,NA,NA,0.8,3.29,Patty counts as a measurement of bison grazing intensity,obligate,TRUE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (National Bison Range),vesper_sparrow,confidence_intervals,1.68,70,NA,NA,0.9,2.87,Patty counts as a measurement of bison grazing intensity,obligate,TRUE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (National Bison Range),western_meadowlark,confidence_intervals,0.89,70,NA,NA,0.07,1.81,Patty counts as a measurement of bison grazing intensity,obligate,TRUE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (Yellowstone National Park),brewers_sparrow,confidence_intervals,1.44,60,NA,NA,0.44,2.64,Patty counts as a measurement of bison grazing intensity,shrub,FALSE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (Yellowstone National Park),green_tailed_towhee,confidence_intervals,-0.44,60,NA,NA,-1.48,0.46,Patty counts as a measurement of bison grazing intensity,shrub,FALSE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (Yellowstone National Park),sage_thrasher,confidence_intervals,2.23,60,NA,NA,0.64,4.71,Patty counts as a measurement of bison grazing intensity,shrub,FALSE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (Yellowstone National Park),vesper_sparrow,confidence_intervals,1.68,60,NA,NA,0.9,2.87,Patty counts as a measurement of bison grazing intensity,obligate,TRUE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,occupancy,Patties,occupancy (Yellowstone National Park),western_meadowlark,confidence_intervals,0.89,60,NA,NA,0.07,1.81,Patty counts as a measurement of bison grazing intensity,obligate,TRUE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,abundance,Patties,abundance,vesper_sparrow,confidence_intervals,0.36,130,NA,NA,0.21,0.51,Patty counts as a measurement of bison grazing intensity,obligate,TRUE,NA
ET6MPIYJ,Fagre et al. 2022,reduce_grazing_intensity,abundance,Patties,abundance,western_meadowlark,confidence_intervals,0.17,130,NA,NA,0.05,0.29,Patty counts as a measurement of bison grazing intensity,obligate,TRUE,NA
CAGIEGRC,Pipher et al. 2016,reduce_grazing_intensity,nest_success,AUM,nest survival,spragues_pipit,standard_error,-16,28,NA,6.91,NA,NA,Weird betas,obligate,TRUE,period_survival
CAGIEGRC,Pipher et al. 2016,reduce_grazing_intensity,nest_success,AUM,nest survival,chestnut_collared_longspur,standard_error,2.52,47,NA,1.54,NA,NA,Weird betas,obligate,TRUE,period_survival
CAGIEGRC,Pipher et al. 2016,reduce_grazing_intensity,nest_success,AUM,nest survival,vesper_sparrow,standard_error,-17.88,23,NA,11.66,NA,NA,Weird betas,obligate,TRUE,period_survival
ZFSHRHGL,Arbeiter and Franke 2018,edge_and_shrub_habitat,nest_success,Distance to meadow edge,nest predation probability,artificial_nests,standard_error,-0.812,234,NA,0.309,NA,NA,Artificial nests,NA,NA,period_survival
BQVLGCUS,Bernath-Plaisted et al. 2017,remove_non_native_shrubs,nest_success,Exotic vegetation cover,Brood parasitism probability,savannah_sparrow,standard_error,0.017,427,NA,0.007,NA,NA,NA,obligate,TRUE,period_survival
58NC2AN3,Colombo and Segura 2021,edge_and_shrub_habitat,nest_success,Distances to continuous forest,DSR,spotted_nothura,standard_error,0.608,80,NA,0.291,NA,NA,NA,obligate,TRUE,daily_survival
PGGQ2M3G,Cox et al. 2012,edge_and_shrub_habitat,nest_success,Distance to forest edge,Nest predation rate,acadian_flycatcher_indigo_bunting,confidence_intervals,-0.0015,290,NA,NA,-0.0029,-1e-4,NA,shrub,FALSE,period_survival
I43EGUDG,Dyulgerova and Biserkov 2024,edge_and_shrub_habitat,species_richness,Edge density within shrubland landscapes,species_richness,grassland_specialists,standard_error,0.1714,127,NA,1e-4,NA,NA,NA,obligate,TRUE,NA
I43EGUDG,Dyulgerova and Biserkov 2024,edge_and_shrub_habitat,species_richness,Edge density within shrubland landscapes,species_richness,generalists,standard_error,0.1714,127,NA,1e-4,NA,NA,NA,shrub,FALSE,NA
I43EGUDG,Dyulgerova and Biserkov 2024,edge_and_shrub_habitat,abundance,Edge density within open landscapes,abundance,all_species,standard_error,0.0258,117,NA,1e-4,NA,NA,NA,NA,TRUE,NA
I43EGUDG,Dyulgerova and Biserkov 2024,edge_and_shrub_habitat,abundance,Edge density within open forest landscapes,abundance,all_species,standard_error,0.0473,46,NA,1e-4,NA,NA,NA,NA,TRUE,NA
I43EGUDG,Dyulgerova and Biserkov 2024,edge_and_shrub_habitat,species_richness,Edge density within open landscapes,species_richness,all_species,standard_error,0.04,117,NA,1e-4,NA,NA,NA,NA,TRUE,NA
I43EGUDG,Dyulgerova and Biserkov 2024,edge_and_shrub_habitat,species_richness,Edge density within open landscapes,shannon diversity index,all_species,standard_error,0.2797,117,NA,1e-4,NA,NA,NA,NA,TRUE,NA
I43EGUDG,Dyulgerova and Biserkov 2024,edge_and_shrub_habitat,species_richness,Edge density within shrubland landscapes,shannon diversity index,all_species,standard_error,0.1882,127,NA,1e-4,NA,NA,NA,NA,TRUE,NA
CXWJRPTX,Ellison et al. 2013,edge_and_shrub_habitat,nest_success,Distance to nearest edge,DSR,bobolink,standard_error,0.009,911,NA,0.004,NA,NA,NA,obligate,TRUE,daily_survival
CXWJRPTX,Ellison et al. 2013,edge_and_shrub_habitat,nest_success,Distance to nearest edge,DSR,eastern_meadowlark,standard_error,0.006,1703,NA,0.003,NA,NA,NA,obligate,TRUE,daily_survival
BC4ABSSC,Hazler et al. 2006,edge_and_shrub_habitat,nest_success,Vertical density (shrub cover),DSR,acadian_flycatcher,standard_error,0.05,163,NA,0.02,NA,NA,NA,other,FALSE,daily_survival
PH82K6GT,Kaasiku et al. 2022,edge_and_shrub_habitat,nest_success,Distance to forest,DSR,waders,standard_error,7e-4,753,NA,2e-4,NA,NA,"The ""Forest"" variable is distance to forest; species are Northern lapwing, Common ringed plover, Common redshank, Southern dunlin, Black-tailed godwit, Ruff, Common snipe, Eurasian oystercatcher, Eurasian curlew, and Little ringed plover",shrub,FALSE,daily_survival
DILVTS4M,Klug et al. 2010,edge_and_shrub_habitat,nest_success,Percent shrub cover,DSR,grassland_obligates,confidence_intervals,-0.3,222,NA,NA,-0.48,-0.12,NA,obligate,TRUE,daily_survival
IBIS6U5N,Laux et al. 2024,edge_and_shrub_habitat,nest_success,Edge length,Predation probability,gray_partridge,standard_deviation,-0.88,4697,0.62,NA,NA,NA,Response is probably daily nest predation; unsure about sample size,facultative,TRUE,period_survival
IBIS6U5N,Laux et al. 2024,edge_and_shrub_habitat,nest_success,"Distance to nearest wood, hedge, or forest",Predation probability,gray_partridge,standard_deviation,-0.11,6318,0.61,NA,NA,NA,Response is probably daily nest predation; unsure about sample size,facultative,TRUE,period_survival
WIGT6A3G,Richardson et al. 2020,plant_nwsg,occupancy,Percentage of sample points in contact with NWSGs,Nest-site selection,northern_bobwhite,standard_error,0.02,192,NA,0.008,NA,NA,Sample size is number of points 20 - 250 m from nests,facultative,TRUE,NA
WIGT6A3G,Richardson et al. 2020,edge_and_shrub_habitat,occupancy,Percentage of sample points in contact with shrubs,Nest-site selection,northern_bobwhite,standard_error,0.021,192,NA,0.008,NA,NA,Sample size is number of points 20 - 250 m from nests,facultative,TRUE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,species_richness,Total length of woody edge habitat,species_richness,all_species,confidence_intervals,0.0778,180,NA,NA,0.0586,0.09699999999999999,NA,NA,TRUE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,species_richness,Total length of woody edge habitat,species_richness,farmland_specialists,confidence_intervals,0.0231,180,NA,NA,5.000000000000004e-4,0.0457,NA,obligate,TRUE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,species_richness,Total length of woody edge habitat,species_richness,shrub_species,confidence_intervals,0.052,180,NA,NA,0.013199999999999996,0.09079999999999999,NA,shrub,FALSE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,abundance,Total length of woody edge habitat,abundance,white_stork,confidence_intervals,0.0776,180,NA,NA,0.001799999999999996,0.1534,NA,facultative,TRUE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,abundance,Total length of woody edge habitat,abundance,common_quail,confidence_intervals,-0.1209,180,NA,NA,-0.2333,-0.008499999999999994,NA,shrub,FALSE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,abundance,Total length of woody edge habitat,abundance,northern_lapwing,confidence_intervals,-0.2369,180,NA,NA,-0.45330000000000004,-0.02049999999999999,NA,obligate,TRUE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,abundance,Total length of woody edge habitat,abundance,common_wood_pigeon,confidence_intervals,0.1585,180,NA,NA,0.0737,0.24330000000000002,NA,other,FALSE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,abundance,Total length of woody edge habitat,abundance,eurasian_skylark,confidence_intervals,-0.0746,180,NA,NA,-0.11299999999999999,-0.0362,NA,facultative,TRUE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,abundance,Total length of woody edge habitat,abundance,western_yellow_wagtail,confidence_intervals,-0.1962,180,NA,NA,-0.2894,-0.10300000000000001,NA,shrub,FALSE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,abundance,Total length of woody edge habitat,abundance,red_backed_shrike,confidence_intervals,0.2746,180,NA,NA,0.1786,0.37060000000000004,NA,shrub,FALSE,NA
ZQEAV9ZK,Sanderson et al. 2009,edge_and_shrub_habitat,abundance,Total length of woody edge habitat,abundance,yellowhammer,confidence_intervals,0.1979,180,NA,NA,0.1357,0.2601,NA,shrub,FALSE,NA
3CD3EZNC,Schindler et al. 2020,edge_and_shrub_habitat,abundance,Edge density within 3 km,abundance,lesser_prairie_chicken,confidence_intervals,0.737,17,NA,NA,0.082,3.94,NA,obligate,TRUE,NA
3CD3EZNC,Schindler et al. 2020,edge_and_shrub_habitat,abundance,Edge density within 3 km,abundance,greater_prairie_chicken,confidence_intervals,-0.498,33,NA,NA,-0.692,-0.21,NA,obligate,TRUE,NA
3CD3EZNC,Schindler et al. 2020,edge_and_shrub_habitat,abundance,Edge density within 3 km,abundance,northern_bobwhite,confidence_intervals,0.14,74,NA,NA,0.088,0.196,NA,facultative,TRUE,NA
3CD3EZNC,Schindler et al. 2020,edge_and_shrub_habitat,abundance,Edge density within 3 km,abundance,ring_necked_pheasant,confidence_intervals,-0.028,66,NA,NA,-0.129,-0.74,NA,facultative,TRUE,NA
HSWCQNBC,Schneider et al. 2012,edge_and_shrub_habitat,nest_success,Distance from woodland,nest predation risk,wheatear,standard_error,-0.018,923,NA,0.342,NA,NA,NA,facultative,TRUE,period_survival
QIAZV4LA,Shake et al. 2011,edge_and_shrub_habitat,nest_success,Distance from forest edge,daily nest predation,all_species,standard_error,0.0014,2827,NA,0.0018,NA,NA,NA,NA,TRUE,daily_survival
QIAZV4LA,Shake et al. 2011,edge_and_shrub_habitat,nest_success,Distance from forest edge,daily nest predation,field_sparrow,standard_error,0.0025,1188,NA,0.0024,NA,NA,NA,facultative,TRUE,daily_survival
QIAZV4LA,Shake et al. 2011,edge_and_shrub_habitat,nest_success,Distance from forest edge,daily nest predation,indigo_bunting,standard_error,-6e-4,722,NA,0.004,NA,NA,NA,facultative,TRUE,daily_survival
UCK86GY9,Skagen et al. 2005,edge_and_shrub_habitat,nest_success,Distance from edge,DSR,artificial_nests,standard_error,-0.03,1492,NA,0.07,NA,NA,Effective sample size calculated 570 nests x 15 exposure days,NA,NA,daily_survival
UCK86GY9,Skagen et al. 2005,edge_and_shrub_habitat,nest_success,Distance from edge,DSR,lark_bunting,standard_error,-0.02,204,NA,0.1,NA,NA,Effective sample size calculated 570 nests x 15 exposure days,obligate,TRUE,daily_survival
UCK86GY9,Skagen et al. 2005,edge_and_shrub_habitat,nest_success,Distance from edge,DSR,horned_lark,standard_error,-0.04,321,NA,0.12,NA,NA,Effective sample size calculated 570 nests x 15 exposure days,obligate,TRUE,daily_survival
GR8C2HMM,Sosa and Lopez de Casenave 2017,edge_and_shrub_habitat,nest_success,Distance from edge,Nest predation rate,artificial_nests,standard_error,-0.005,8550,NA,8e-4,NA,NA,Effective sample size calculated 570 nests x 15 exposure days,NA,NA,period_survival
J5QM4UHJ,Suvorov et al. 2014,edge_and_shrub_habitat,nest_success,Meadow edge,Nest predation probability,artificial_nests,standard_error,1.199,354,NA,0.363,NA,NA,Proportion of eggs hatched for a given clutch size (Unsure about this note),NA,NA,period_survival
NJWV66SX,Winter et al. 2000,edge_and_shrub_habitat,nest_success,Distance to edge,DSR,henslows_sparrow,standard_error,-0.25,49,NA,0.11,NA,NA,NA,obligate,TRUE,daily_survival
NJWV66SX,Winter et al. 2000,edge_and_shrub_habitat,nest_success,Distance to edge,Brood parasitism,dickcissel,standard_error,1.14,111,NA,0.14,NA,NA,NA,obligate,TRUE,period_survival
ZUVT3TNS,Zhang et al. 2016,edge_and_shrub_habitat,occupancy,Distance to forest edge,Nest-site selection,red_billed_leiothrix,standard_error,-1.57,123,NA,0.25,NA,NA,NA,shrub,FALSE,NA
APW8GBU8,Shamon et al. 2021,edge_and_shrub_habitat,abundance,Percent shrub cover (80 ha),abundance,horned_lark,standard_error,-0.14,279,NA,0.05,NA,NA,NA,obligate,TRUE,NA
APW8GBU8,Shamon et al. 2021,edge_and_shrub_habitat,abundance,Percent shrub cover (80 ha),abundance,spragues_pipit,standard_error,0.3,279,NA,0.13,NA,NA,NA,obligate,TRUE,NA
APW8GBU8,Shamon et al. 2021,edge_and_shrub_habitat,abundance,Percent shrub cover (80 ha),abundance,chestnut_collared_longspur,standard_error,-0.57,279,NA,0.13,NA,NA,NA,obligate,TRUE,NA
APW8GBU8,Shamon et al. 2021,edge_and_shrub_habitat,abundance,Percent shrub cover (80 ha),abundance,lark_bunting,standard_error,-0.14,279,NA,0.07,NA,NA,NA,obligate,TRUE,NA
APW8GBU8,Shamon et al. 2021,edge_and_shrub_habitat,abundance,Percent shrub cover (80 ha),abundance,savannah_sparrow,standard_error,0.08,279,NA,0.02,NA,NA,NA,obligate,TRUE,NA
APW8GBU8,Shamon et al. 2021,edge_and_shrub_habitat,abundance,Percent shrub cover (80 ha),abundance,grasshopper_sparrow,standard_error,0.09,279,NA,0.01,NA,NA,NA,obligate,TRUE,NA
APW8GBU8,Shamon et al. 2021,edge_and_shrub_habitat,abundance,Percent shrub cover (80 ha),abundance,bairds_sparrow,standard_error,-0.04,279,NA,0.02,NA,NA,NA,obligate,TRUE,NA
APW8GBU8,Shamon et al. 2021,edge_and_shrub_habitat,abundance,Percent shrub cover (80 ha),abundance,western_meadowlark,standard_error,0.04,279,NA,0.02,NA,NA,NA,obligate,TRUE,NA
EREI5ZVC,Landry-DeBoer et al. 2023,edge_and_shrub_habitat,abundance,Shrub cover,abundance,spragues_pipit,standard_error,-0.4539,617,NA,0.3672,NA,NA,"Traced from plot; They seem to use point counts as sample size, but it's funky",obligate,TRUE,NA
EREI5ZVC,Landry-DeBoer et al. 2023,edge_and_shrub_habitat,abundance,Shrub cover,abundance,mccowns_longspur,standard_error,-5.0217,617,NA,2.0487,NA,NA,"Traced from plot; They seem to use point counts as sample size, but it's funky",obligate,TRUE,NA
EREI5ZVC,Landry-DeBoer et al. 2023,edge_and_shrub_habitat,abundance,Shrub cover,abundance,chestnut_collared_longspur,standard_error,-1.4264,617,NA,0.3908,NA,NA,"Traced from plot; They seem to use point counts as sample size, but it's funky",obligate,TRUE,NA
YSAVDL5T,Pharr et al. 2023,upgrade_to_darksky,survival,Light pollution,survival,song_sparrow,standard_error,0.2034,901,NA,0.227,NA,NA,Traced from plot,facultative,TRUE,NA
YSAVDL5T,Pharr et al. 2023,upgrade_to_darksky,survival,Light pollution,survival,northern_cardinal,standard_error,-0.0458,1644,NA,0.1564,NA,NA,Traced from plot,facultative,TRUE,NA
YSAVDL5T,Pharr et al. 2023,upgrade_to_darksky,survival,Light pollution,survival,carolina_wren,standard_error,0.1116,793,NA,0.2826,NA,NA,Traced from plot,other,FALSE,NA
YSAVDL5T,Pharr et al. 2023,upgrade_to_darksky,survival,Light pollution,survival,carolina_chickadee,standard_error,0.1251,699,NA,0.3476,NA,NA,Traced from plot,other,FALSE,NA
9TTSRV56,Pulliam et al. 2021,remove_non_native_shrubs,nest_success,Exotic vegetation cover,nest survival,chestnut_collared_longspur,confidence_intervals,0.1061,263,NA,NA,-0.035,0.2472,Traced from plot,obligate,TRUE,period_survival
9TTSRV56,Pulliam et al. 2021,edge_and_shrub_habitat,nest_success,Shrub cover,nest survival,chestnut_collared_longspur,confidence_intervals,0.0154,263,NA,NA,-0.09230000000000001,0.1231,Traced from plot,obligate,TRUE,period_survival
TPZAX73L,Sadoti et al. 2018,edge_and_shrub_habitat,species_richness,shrub cover,species_richness,grassland_species,confidence_intervals,0.172,36,NA,NA,-0.08410000000000001,0.4281,Traced from plot; Sample size is number of transects,facultative,TRUE,NA
TPZAX73L,Sadoti et al. 2018,provide_overwintering_habitat,species_richness,shrub cover,species_richness,grassland_species,confidence_intervals,0.172,36,NA,NA,-0.08410000000000001,0.4281,Traced from plot; Sample size is number of transects,facultative,TRUE,NA
TPZAX73L,Sadoti et al. 2018,edge_and_shrub_habitat,abundance,shrub cover,abundance,grassland_species,confidence_intervals,0.2968,36,NA,NA,-0.0413,0.6349,Traced from plot; Sample size is number of transects,facultative,TRUE,NA
TPZAX73L,Sadoti et al. 2018,provide_overwintering_habitat,abundance,shrub cover,abundance,grassland_species,confidence_intervals,0.2968,36,NA,NA,-0.0413,0.6349,Traced from plot; Sample size is number of transects,facultative,TRUE,NA
TPZAX73L,Sadoti et al. 2018,edge_and_shrub_habitat,species_richness,shrub cover,species_richness,grassland_species,confidence_intervals,0.0708,36,NA,NA,-0.1833,0.32489999999999997,Traced from plot; Sample size is number of transects,facultative,TRUE,NA
TPZAX73L,Sadoti et al. 2018,edge_and_shrub_habitat,abundance,shrub cover,abundance,grassland_species,confidence_intervals,0.1096,36,NA,NA,-0.24889999999999998,0.46809999999999996,Traced from plot; Sample size is number of transects,facultative,TRUE,NA
TPZAX73L,Sadoti et al. 2018,edge_and_shrub_habitat,species_richness,shrub cover,species_richness,shrub_species,confidence_intervals,0.3698,36,NA,NA,0.20720000000000002,0.5324,Traced from plot; Sample size is number of transects,shrub,FALSE,NA
TPZAX73L,Sadoti et al. 2018,provide_overwintering_habitat,species_richness,shrub cover,species_richness,shrub_species,confidence_intervals,0.3698,36,NA,NA,0.20720000000000002,0.5324,Traced from plot; Sample size is number of transects,shrub,FALSE,NA
TPZAX73L,Sadoti et al. 2018,edge_and_shrub_habitat,abundance,shrub cover,abundance,shrub_species,confidence_intervals,0.6237,36,NA,NA,0.42660000000000003,0.8208,Traced from plot; Sample size is number of transects,shrub,FALSE,NA
TPZAX73L,Sadoti et al. 2018,provide_overwintering_habitat,abundance,shrub cover,abundance,shrub_species,confidence_intervals,0.6237,36,NA,NA,0.42660000000000003,0.8208,Traced from plot; Sample size is number of transects,shrub,FALSE,NA
TPZAX73L,Sadoti et al. 2018,edge_and_shrub_habitat,species_richness,shrub cover,species_richness,shrub_species,confidence_intervals,0.1352,36,NA,NA,0,0.2704,Traced from plot; Sample size is number of transects,shrub,FALSE,NA
TPZAX73L,Sadoti et al. 2018,edge_and_shrub_habitat,abundance,shrub cover,abundance,shrub_species,confidence_intervals,0.1188,36,NA,NA,-0.049899999999999986,0.2875,Traced from plot; Sample size is number of transects,shrub,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,black_and_white_warbler,confidence_intervals,0.7827,653,NA,NA,0.45239999999999997,1.113,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,chestnut_sided_warbler,confidence_intervals,0.5463,653,NA,NA,0.2973,0.7953,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,least_flycatcher,confidence_intervals,0.3557,653,NA,NA,0.09910000000000002,0.6123000000000001,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,vesper_sparrow,confidence_intervals,0.2768,653,NA,NA,-2.0000000000003348e-4,0.5538000000000001,Traced from plot,obligate,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,brown_headed_cowbird,confidence_intervals,0.2641,653,NA,NA,0.0736,0.4546,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,gray_catbird,confidence_intervals,0.264,653,NA,NA,0.1446,0.3834,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,house_wren,confidence_intervals,0.236,653,NA,NA,0.1445,0.3275,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,common_grackle,confidence_intervals,0.208,653,NA,NA,0.1369,0.2791,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,baltimore_oriole,confidence_intervals,0.2003,653,NA,NA,0.04780000000000001,0.3528,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,indigo_bunting,confidence_intervals,0.185,653,NA,NA,-0.08939999999999998,0.4594,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,warbling_vireo,confidence_intervals,0.1646,653,NA,NA,0.04519999999999999,0.28400000000000003,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,common_yellowthroat,confidence_intervals,0.162,653,NA,NA,0.0858,0.23820000000000002,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,eastern_kingbird,confidence_intervals,0.1594,653,NA,NA,0.001899999999999985,0.31689999999999996,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,cedar_waxwing,confidence_intervals,0.1441,653,NA,NA,0.0121,0.2761,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,yellow_warbler,confidence_intervals,0.1364,653,NA,NA,0.055099999999999996,0.2177,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,blue_jay,confidence_intervals,0.1364,653,NA,NA,0.04239999999999999,0.2304,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,red_eyed_vireo,confidence_intervals,0.1312,653,NA,NA,0.03970000000000001,0.2227,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,eastern_phoebe,confidence_intervals,0.1312,653,NA,NA,-0.04669999999999999,0.30910000000000004,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,great_crested_flycatcher,confidence_intervals,0.1133,653,NA,NA,-0.05700000000000001,0.2836,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,mourning_dove,confidence_intervals,0.1057,653,NA,NA,0.032,0.1794,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,northern_cardinal,confidence_intervals,0.1031,653,NA,NA,-0.0519,0.2581,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,scarlet_tanager,confidence_intervals,0.0903,653,NA,NA,-0.4459,0.6265000000000001,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,chipping_sparrow,confidence_intervals,0.0877,653,NA,NA,-0.024099999999999996,0.1995,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,american_goldfinch,confidence_intervals,0.0826,653,NA,NA,0.01150000000000001,0.1537,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,song_sparrow,confidence_intervals,0.08,653,NA,NA,0.034300000000000004,0.1257,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,american_robin,confidence_intervals,0.0672,653,NA,NA,0.018899999999999993,0.11549999999999999,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,red_winged_blackbird,confidence_intervals,0.0443,653,NA,NA,-0.029400000000000003,0.118,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,black_capped_chickadee,confidence_intervals,0.0417,653,NA,NA,-0.1057,0.1891,Traced from plot,other,FALSE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,alder_flycatcher,confidence_intervals,0.0365,653,NA,NA,-0.30400000000000005,0.377,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,brown_thrasher,confidence_intervals,0.0111,653,NA,NA,-0.1134,0.1356,Traced from plot,facultative,TRUE,NA
926Z83RQ,de Zwaan et al. 2024,edge_and_shrub_habitat,abundance,Proportion of linear woody features,abundance,american_redstart,confidence_intervals,0.00337,653,NA,NA,-0.33213000000000004,0.33887,Traced from plot,other,FALSE,NA
